Quelle:;"Bayerisches Landesamt fuer Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"27.04.2018 09:21"
Zeitbezug:;MEZ
Messstellen-Name:;Hofkirchen
Messstellen-Nr.:;10088003
"Gew&auml;sser:";Donau
Koordinaten:;"Rechtswert: 4582232.00, Hochwert: 5393825.00, EPSG 31468"
Pegelnullpunktsh�he:;"299,60 m u. NN"

"Tageswerte Abfluss [m3/s]"
Datum;Mittelwert;Maximum;Minimum;"Abfluss [m3/s]";Pruefstatus
1900-11-01;328,00;;;Geprueft
1900-11-02;385,00;;;Geprueft
1900-11-03;422,00;;;Geprueft
1900-11-04;388,00;;;Geprueft
1900-11-05;381,00;;;Geprueft
1900-11-06;374,00;;;Geprueft
1900-11-07;371,00;;;Geprueft
1900-11-08;367,00;;;Geprueft
1900-11-09;360,00;;;Geprueft
1900-11-10;347,00;;;Geprueft
1900-11-11;335,00;;;Geprueft
1900-11-12;332,00;;;Geprueft
1900-11-13;341,00;;;Geprueft
1900-11-14;388,00;;;Geprueft
1900-11-15;426,00;;;Geprueft
1900-11-16;418,00;;;Geprueft
1900-11-17;400,00;;;Geprueft
1900-11-18;385,00;;;Geprueft
1900-11-19;381,00;;;Geprueft
1900-11-20;364,00;;;Geprueft
1900-11-21;347,00;;;Geprueft
1900-11-22;350,00;;;Geprueft
1900-11-23;344,00;;;Geprueft
1900-11-24;338,00;;;Geprueft
1900-11-25;328,00;;;Geprueft
1900-11-26;325,00;;;Geprueft
1900-11-27;322,00;;;Geprueft
1900-11-28;325,00;;;Geprueft
1900-11-29;325,00;;;Geprueft
1900-11-30;322,00;;;Geprueft
1900-12-01;316,00;;;Geprueft
1900-12-02;313,00;;;Geprueft
1900-12-03;318,00;;;Geprueft
1900-12-04;322,00;;;Geprueft
1900-12-05;332,00;;;Geprueft
1900-12-06;403,00;;;Geprueft
1900-12-07;538,00;;;Geprueft
1900-12-08;996,00;;;Geprueft
1900-12-09;1250,00;;;Geprueft
1900-12-10;1320,00;;;Geprueft
1900-12-11;1270,00;;;Geprueft
1900-12-12;1130,00;;;Geprueft
1900-12-13;912,00;;;Geprueft
1900-12-14;780,00;;;Geprueft
1900-12-15;691,00;;;Geprueft
1900-12-16;630,00;;;Geprueft
1900-12-17;577,00;;;Geprueft
1900-12-18;538,00;;;Geprueft
1900-12-19;498,00;;;Geprueft
1900-12-20;472,00;;;Geprueft
1900-12-21;442,00;;;Geprueft
1900-12-22;422,00;;;Geprueft
1900-12-23;411,00;;;Geprueft
1900-12-24;400,00;;;Geprueft
1900-12-25;396,00;;;Geprueft
1900-12-26;388,00;;;Geprueft
1900-12-27;388,00;;;Geprueft
1900-12-28;385,00;;;Geprueft
1900-12-29;381,00;;;Geprueft
1900-12-30;378,00;;;Geprueft
1900-12-31;381,00;;;Geprueft
1901-01-01;392,00;;;Geprueft
1901-01-02;392,00;;;Geprueft
1901-01-03;392,00;;;Geprueft
1901-01-04;360,00;;;Geprueft
1901-01-05;328,00;;;Geprueft
1901-01-06;302,00;;;Geprueft
1901-01-07;302,00;;;Geprueft
1901-01-08;302,00;;;Geprueft
1901-01-09;305,00;;;Geprueft
1901-01-10;322,00;;;Geprueft
1901-01-11;341,00;;;Geprueft
1901-01-12;350,00;;;Geprueft
1901-01-13;332,00;;;Geprueft
1901-01-14;371,00;;;Geprueft
1901-01-15;392,00;;;Geprueft
1901-01-16;354,00;;;Geprueft
1901-01-17;354,00;;;Geprueft
1901-01-18;332,00;;;Geprueft
1901-01-19;354,00;;;Geprueft
1901-01-20;341,00;;;Geprueft
1901-01-21;341,00;;;Geprueft
1901-01-22;332,00;;;Geprueft
1901-01-23;341,00;;;Geprueft
1901-01-24;354,00;;;Geprueft
1901-01-25;374,00;;;Geprueft
1901-01-26;374,00;;;Geprueft
